Provinsi;IPM;Tahun
ACEH;72.8;2022
SUMATERA UTARA;72.71;2022
SUMATERA BARAT;73.26;2022
RIAU;73.52;2022
JAMBI;72.14;2022
SUMATERA SELATAN;70.9;2022
BENGKULU;72.16;2022
LAMPUNG;70.45;2022
KEP. BANGKA BELITUNG;72.24;2022
KEP. RIAU;76.46;2022
DKI JAKARTA;81.65;2022
JAWA BARAT;73.12;2022
JAWA TENGAH;72.79;2022
DI YOGYAKARTA;80.64;2022
JAWA TIMUR;72.75;2022
BANTEN;73.32;2022
BALI;76.44;2022
NUSA TENGGARA BARAT;69.46;2022
NUSA TENGGARA TIMUR;65.9;2022
KALIMANTAN BARAT;68.63;2022
KALIMANTAN TENGAH;71.63;2022
KALIMANTAN SELATAN;71.84;2022
KALIMANTAN TIMUR;77.44;2022
KALIMANTAN UTARA;71.83;2022
SULAWESI UTARA;73.81;2022
SULAWESI TENGAH;70.28;2022
SULAWESI SELATAN;72.82;2022
SULAWESI TENGGARA;72.23;2022
GORONTALO;69.81;2022
SULAWESI BARAT;66.92;2022
MALUKU;70.22;2022
MALUKU UTARA;69.47;2022
PAPUA BARAT;65.16;2022
PAPUA;71.76;2022
PAPUA TENGAH;58.25;2022
ACEH;73.4;2023
SUMATERA UTARA;73.37;2023
SUMATERA BARAT;73.75;2023
RIAU;74.04;2023
JAMBI;72.77;2023
SUMATERA SELATAN;71.62;2023
BENGKULU;72.78;2023
LAMPUNG;71.15;2023
KEP. BANGKA BELITUNG;72.85;2023
KEP. RIAU;77.11;2023
DKI JAKARTA;82.46;2023
JAWA BARAT;73.74;2023
JAWA TENGAH;73.39;2023
DI YOGYAKARTA;81.07;2023
JAWA TIMUR;73.38;2023
BANTEN;73.87;2023
BALI;77.1;2023
NUSA TENGGARA BARAT;70.2;2023
NUSA TENGGARA TIMUR;66.68;2023
KALIMANTAN BARAT;69.41;2023
KALIMANTAN TENGAH;72.2;2023
KALIMANTAN SELATAN;72.5;2023
KALIMANTAN TIMUR;78.2;2023
KALIMANTAN UTARA;72.49;2023
SULAWESI UTARA;74.36;2023
SULAWESI TENGAH;70.95;2023
SULAWESI SELATAN;73.46;2023
SULAWESI TENGGARA;72.79;2023
GORONTALO;70.45;2023
SULAWESI BARAT;67.55;2023
MALUKU;70.94;2023
MALUKU UTARA;70.21;2023
PAPUA BARAT;66.16;2023
PAPUA;72.41;2023
ACEH;74.03;2024
SUMATERA UTARA;74.02;2024
SUMATERA BARAT;74.49;2024
RIAU;74.79;2024
JAMBI;73.43;2024
SUMATERA SELATAN;72.3;2024
BENGKULU;73.39;2024
LAMPUNG;71.81;2024
KEP. BANGKA BELITUNG;73.33;2024
KEP. RIAU;77.97;2024
DKI JAKARTA;83.08;2024
JAWA BARAT;74.43;2024
JAWA TENGAH;73.88;2024
DI YOGYAKARTA;81.55;2024
JAWA TIMUR;74.09;2024
BANTEN;74.48;2024
BALI;77.76;2024
NUSA TENGGARA BARAT;70.93;2024
NUSA TENGGARA TIMUR;67.39;2024
KALIMANTAN BARAT;70.13;2024
KALIMANTAN TENGAH;72.73;2024
KALIMANTAN SELATAN;73.03;2024
KALIMANTAN TIMUR;78.83;2024
KALIMANTAN UTARA;73.02;2024
SULAWESI UTARA;75.03;2024
SULAWESI TENGAH;71.56;2024
SULAWESI SELATAN;74.05;2024
SULAWESI TENGGARA;73.48;2024
GORONTALO;71.23;2024
SULAWESI BARAT;68.2;2024
MALUKU;71.57;2024
MALUKU UTARA;71.03;2024
PAPUA BARAT;67.02;2024
PAPUA;73.0;2024
