Provinsi;Kemiskinan;Tahun
ACEH;14.64;2022
SUMATERA UTARA;8.42;2022
SUMATERA BARAT;5.92;2022
RIAU;6.78;2022
JAMBI;7.62;2022
SUMATERA SELATAN;11.9;2022
BENGKULU;14.62;2022
LAMPUNG;11.57;2022
KEPULAUAN BANGKA BELITUNG;4.45;2022
KEPULAUAN RIAU;6.24;2022
DKI JAKARTA;4.69;2022
JAWA BARAT;8.06;2022
JAWA TENGAH;10.93;2022
DI YOGYAKARTA;11.34;2022
JAWA TIMUR;10.38;2022
BANTEN;6.16;2022
BALI;4.57;2022
NUSA TENGGARA BARAT;13.68;2022
NUSA TENGGARA TIMUR;20.05;2022
KALIMANTAN BARAT;6.73;2022
KALIMANTAN TENGAH;5.28;2022
KALIMANTAN SELATAN;4.49;2022
KALIMANTAN TIMUR;6.31;2022
KALIMANTAN UTARA;6.77;2022
SULAWESI UTARA;7.28;2022
SULAWESI TENGAH;12.33;2022
SULAWESI SELATAN;8.63;2022
SULAWESI TENGGARA;11.17;2022
GORONTALO;15.42;2022
SULAWESI BARAT;11.75;2022
MALUKU;15.97;2022
MALUKU UTARA;6.23;2022
PAPUA BARAT;21.33;2022
PAPUA;26.56;2022
ACEH;14.45;2023
SUMATERA UTARA;8.15;2023
SUMATERA BARAT;5.95;2023
RIAU;6.68;2023
JAMBI;7.58;2023
SUMATERA SELATAN;11.78;2023
BENGKULU;14.04;2023
LAMPUNG;11.11;2023
KEPULAUAN BANGKA BELITUNG;4.52;2023
KEPULAUAN RIAU;5.69;2023
DKI JAKARTA;4.44;2023
JAWA BARAT;7.62;2023
JAWA TENGAH;10.77;2023
DI YOGYAKARTA;11.04;2023
JAWA TIMUR;10.35;2023
BANTEN;6.17;2023
BALI;4.25;2023
NUSA TENGGARA BARAT;13.85;2023
NUSA TENGGARA TIMUR;19.96;2023
KALIMANTAN BARAT;6.71;2023
KALIMANTAN TENGAH;5.11;2023
KALIMANTAN SELATAN;4.29;2023
KALIMANTAN TIMUR;6.11;2023
KALIMANTAN UTARA;6.45;2023
SULAWESI UTARA;7.38;2023
SULAWESI TENGAH;12.41;2023
SULAWESI SELATAN;8.7;2023
SULAWESI TENGGARA;11.43;2023
GORONTALO;15.15;2023
SULAWESI BARAT;11.49;2023
MALUKU;16.42;2023
MALUKU UTARA;6.46;2023
PAPUA BARAT;20.49;2023
PAPUA;26.03;2023
ACEH;14.23;2024
SUMATERA UTARA;7.99;2024
SUMATERA BARAT;5.97;2024
RIAU;6.67;2024
JAMBI;7.1;2024
SUMATERA SELATAN;10.97;2024
BENGKULU;13.56;2024
LAMPUNG;10.69;2024
KEPULAUAN BANGKA BELITUNG;4.55;2024
KEPULAUAN RIAU;5.37;2024
DKI JAKARTA;4.3;2024
JAWA BARAT;7.46;2024
JAWA TENGAH;10.47;2024
DI YOGYAKARTA;10.83;2024
JAWA TIMUR;9.79;2024
BANTEN;5.84;2024
BALI;4.0;2024
NUSA TENGGARA BARAT;12.91;2024
NUSA TENGGARA TIMUR;19.48;2024
KALIMANTAN BARAT;6.32;2024
KALIMANTAN TENGAH;5.17;2024
KALIMANTAN SELATAN;4.11;2024
KALIMANTAN TIMUR;5.78;2024
KALIMANTAN UTARA;6.32;2024
SULAWESI UTARA;7.25;2024
SULAWESI TENGAH;11.77;2024
SULAWESI SELATAN;8.06;2024
SULAWESI TENGGARA;11.21;2024
GORONTALO;14.57;2024
SULAWESI BARAT;11.21;2024
MALUKU;16.05;2024
MALUKU UTARA;6.32;2024
PAPUA BARAT;21.66;2024
PAPUA;17.26;2024
