Provinsi,TPT,Tahun
ACEH,6.07,2022
SUMATERA UTARA,5.8149999999999995,2022
SUMATERA BARAT,6.225,2022
RIAU,4.385,2022
JAMBI,4.645,2022
SUMATERA SELATAN,4.6850000000000005,2022
BENGKULU,3.49,2022
LAMPUNG,4.414999999999999,2022
KEP. BANGKA BELITUNG,4.475,2022
KEP. RIAU,8.125,2022
DKI JAKARTA,7.59,2022
JAWA BARAT,8.33,2022
JAWA TENGAH,5.66,2022
DI YOGYAKARTA,3.8949999999999996,2022
JAWA TIMUR,5.15,2022
BANTEN,8.309999999999999,2022
BALI,4.82,2022
NUSA TENGGARA BARAT,3.4050000000000002,2022
NUSA TENGGARA TIMUR,3.42,2022
KALIMANTAN BARAT,4.985,2022
KALIMANTAN TENGAH,4.23,2022
KALIMANTAN SELATAN,4.470000000000001,2022
KALIMANTAN TIMUR,6.24,2022
KALIMANTAN UTARA,4.475,2022
SULAWESI UTARA,6.5600000000000005,2022
SULAWESI TENGAH,3.335,2022
SULAWESI SELATAN,5.13,2022
SULAWESI TENGGARA,3.61,2022
GORONTALO,2.915,2022
SULAWESI BARAT,2.7249999999999996,2022
MALUKU,6.66,2022
MALUKU UTARA,4.48,2022
PAPUA BARAT,5.575,2022
PAPUA,3.215,2022
ACEH,5.890000000000001,2023
SUMATERA UTARA,5.5649999999999995,2023
SUMATERA BARAT,5.92,2023
RIAU,4.24,2023
JAMBI,4.515000000000001,2023
SUMATERA SELATAN,4.32,2023
BENGKULU,3.315,2023
LAMPUNG,4.205,2023
KEP. BANGKA BELITUNG,4.225,2023
KEP. RIAU,7.205,2023
DKI JAKARTA,7.050000000000001,2023
JAWA BARAT,7.665,2023
JAWA TENGAH,5.1850000000000005,2023
DI YOGYAKARTA,3.635,2023
JAWA TIMUR,4.605,2023
BANTEN,7.744999999999999,2023
BALI,3.21,2023
NUSA TENGGARA BARAT,3.2649999999999997,2023
NUSA TENGGARA TIMUR,3.12,2023
KALIMANTAN BARAT,4.785,2023
KALIMANTAN TENGAH,3.9699999999999998,2023
KALIMANTAN SELATAN,4.13,2023
KALIMANTAN TIMUR,5.84,2023
KALIMANTAN UTARA,4.055,2023
SULAWESI UTARA,6.145,2023
SULAWESI TENGAH,3.22,2023
SULAWESI SELATAN,4.795,2023
SULAWESI TENGGARA,3.4050000000000002,2023
GORONTALO,3.065,2023
SULAWESI BARAT,2.6550000000000002,2023
MALUKU,6.195,2023
MALUKU UTARA,4.455,2023
PAPUA BARAT,5.455,2023
PAPUA,3.08,2023
ACEH,5.654999999999999,2024
SUMATERA UTARA,5.35,2024
SUMATERA BARAT,5.77,2024
RIAU,3.7750000000000004,2024
JAMBI,4.465,2024
SUMATERA SELATAN,3.915,2024
BENGKULU,3.1399999999999997,2024
LAMPUNG,4.155,2024
KEP. BANGKA BELITUNG,4.24,2024
KEP. RIAU,6.665,2024
DKI JAKARTA,6.12,2024
JAWA BARAT,6.83,2024
JAWA TENGAH,4.585,2024
DI YOGYAKARTA,3.3600000000000003,2024
JAWA TIMUR,3.9650000000000003,2024
BANTEN,6.85,2024
BALI,1.83,2024
NUSA TENGGARA BARAT,3.0149999999999997,2024
NUSA TENGGARA TIMUR,3.0949999999999998,2024
KALIMANTAN BARAT,4.53,2024
KALIMANTAN TENGAH,3.84,2024
KALIMANTAN SELATAN,4.045,2024
KALIMANTAN TIMUR,5.445,2024
KALIMANTAN UTARA,3.955,2024
SULAWESI UTARA,5.915,2024
SULAWESI TENGAH,3.045,2024
SULAWESI SELATAN,4.545,2024
SULAWESI TENGGARA,3.1550000000000002,2024
GORONTALO,3.09,2024
SULAWESI BARAT,2.85,2024
MALUKU,6.035,2024
MALUKU UTARA,4.095000000000001,2024
PAPUA BARAT,4.22,2024
PAPUA,6.145,2024
